section_id,page_no,reason
41,602,Image not found
23,00-index-a,No table detected or no spec rows parsed
23,00-index-b,No table detected or no spec rows parsed
23,00-index-c,No table detected or no spec rows parsed
23,00-index-d,No table detected or no spec rows parsed
23,00-index-e,No table detected or no spec rows parsed
23,00-index-f,No table detected or no spec rows parsed
23,02,No table detected or no spec rows parsed
23,03,No table detected or no spec rows parsed
23,04,No table detected or no spec rows parsed
23,05,No table detected or no spec rows parsed
23,07,No table detected or no spec rows parsed
23,08,No table detected or no spec rows parsed
23,09,No table detected or no spec rows parsed
23,101,No table detected or no spec rows parsed
23,102,No table detected or no spec rows parsed
23,103,No table detected or no spec rows parsed
23,104,No table detected or no spec rows parsed
23,105,No table detected or no spec rows parsed
23,106,No table detected or no spec rows parsed
23,108,No table detected or no spec rows parsed
23,11,No table detected or no spec rows parsed
23,111,No table detected or no spec rows parsed
23,112,No table detected or no spec rows parsed
23,113,No table detected or no spec rows parsed
23,115,No table detected or no spec rows parsed
23,116,No table detected or no spec rows parsed
23,117,No table detected or no spec rows parsed
23,118,No table detected or no spec rows parsed
23,119,No table detected or no spec rows parsed
23,120,No table detected or no spec rows parsed
23,121,No table detected or no spec rows parsed
23,122,No table detected or no spec rows parsed
23,14,No table detected or no spec rows parsed
23,15,No table detected or no spec rows parsed
23,165,No table detected or no spec rows parsed
23,166,No table detected or no spec rows parsed
23,168,No table detected or no spec rows parsed
23,17,No table detected or no spec rows parsed
23,171,No table detected or no spec rows parsed
23,173a,No table detected or no spec rows parsed
23,174,No table detected or no spec rows parsed
23,175,No table detected or no spec rows parsed
23,176,No table detected or no spec rows parsed
23,177,No table detected or no spec rows parsed
23,178,No table detected or no spec rows parsed
23,179,No table detected or no spec rows parsed
23,18,No table detected or no spec rows parsed
23,180,No table detected or no spec rows parsed
23,181,No table detected or no spec rows parsed
23,182,No table detected or no spec rows parsed
23,183,No table detected or no spec rows parsed
23,184,No table detected or no spec rows parsed
23,185,No table detected or no spec rows parsed
23,186,No table detected or no spec rows parsed
23,187,No table detected or no spec rows parsed
23,188,No table detected or no spec rows parsed
23,19,No table detected or no spec rows parsed
23,20,No table detected or no spec rows parsed
23,21,No table detected or no spec rows parsed
23,300,No table detected or no spec rows parsed
23,301,No table detected or no spec rows parsed
23,302,No table detected or no spec rows parsed
23,303,No table detected or no spec rows parsed
23,304,No table detected or no spec rows parsed
23,305,No table detected or no spec rows parsed
23,306,No table detected or no spec rows parsed
23,307,No table detected or no spec rows parsed
23,308,No table detected or no spec rows parsed
23,309,No table detected or no spec rows parsed
23,310,No table detected or no spec rows parsed
23,312,No table detected or no spec rows parsed
23,315,No table detected or no spec rows parsed
23,316,No table detected or no spec rows parsed
23,317,No table detected or no spec rows parsed
23,318,No table detected or no spec rows parsed
23,319,No table detected or no spec rows parsed
23,320,No table detected or no spec rows parsed
23,321,No table detected or no spec rows parsed
23,322,No table detected or no spec rows parsed
23,323,No table detected or no spec rows parsed
23,324,No table detected or no spec rows parsed
12,00-index-a,No table detected or no spec rows parsed
12,00-index-b,No table detected or no spec rows parsed
12,00-index-c,No table detected or no spec rows parsed
12,00-index-d,No table detected or no spec rows parsed
12,00-index-e,No table detected or no spec rows parsed
12,00,No table detected or no spec rows parsed
12,01a,No table detected or no spec rows parsed
12,02,No table detected or no spec rows parsed
12,03,No table detected or no spec rows parsed
12,04,No table detected or no spec rows parsed
12,05,No table detected or no spec rows parsed
12,06,No table detected or no spec rows parsed
12,07,No table detected or no spec rows parsed
12,08,No table detected or no spec rows parsed
12,10,No table detected or no spec rows parsed
12,100,No table detected or no spec rows parsed
12,101,No table detected or no spec rows parsed
12,102,No table detected or no spec rows parsed
12,103,No table detected or no spec rows parsed
12,104,No table detected or no spec rows parsed
12,105,No table detected or no spec rows parsed
12,106,No table detected or no spec rows parsed
12,107,No table detected or no spec rows parsed
12,107_1,No table detected or no spec rows parsed
12,107_2,No table detected or no spec rows parsed
12,107_3,No table detected or no spec rows parsed
12,107_4,No table detected or no spec rows parsed
12,107a,No table detected or no spec rows parsed
12,108,No table detected or no spec rows parsed
12,108_1,No table detected or no spec rows parsed
12,110,No table detected or no spec rows parsed
12,112,No table detected or no spec rows parsed
12,112_2,No table detected or no spec rows parsed
12,112_3,No table detected or no spec rows parsed
12,113,No table detected or no spec rows parsed
12,114_1,No table detected or no spec rows parsed
12,115,No table detected or no spec rows parsed
12,130,No table detected or no spec rows parsed
12,131,No table detected or no spec rows parsed
12,132,No table detected or no spec rows parsed
12,132_1,No table detected or no spec rows parsed
